Year_,TotalPopulation,TotalPopulationRank,UrbanPopulation,RuralPopulation,Birthrate,DeathRate,GrowthRate,Density
2020,59308690,25,39946775,19361915,19.995,9.468,1.28,48.6499684
2019,58558270,24,39149715,19408552,20.329,9.494,1.33,48.0344109
2018,57792518,24,38348227,19444293,20.663,9.52,1.37,47.4062768
2017,57009756,24,37540921,19468830,21.06,9.707,1.43,46.7641897
2016,56207646,24,36726640,19481009,21.457,9.894,1.48,46.1062317
2015,55386367,24,35905875,19480494,21.853,10.08,1.54,45.4325497
2014,54544186,24,35078456,19465728,22.25,10.267,1.6,44.7417221
2013,53687121,24,34248628,19438497,22.647,10.454,1.62,44.0386854
2012,52832658,24,33428280,19404379,22.825,11.073,1.59,43.3377831
2011,52003755,24,32630279,19373480,23.003,11.692,1.54,42.6578472
2010,51216964,24,31866173,19350794,23.181,12.312,1.47,42.0124552
2009,50477011,26,31137755,19339258,23.359,12.931,1.4,41.4054836
2008,49779471,26,30442138,19337334,23.537,13.55,1.34,40.8333027
2007,49119759,26,29774437,19345329,23.36,13.54,1.3,40.2921515
2006,48489459,26,29131015,19358449,23.183,13.531,1.27,39.7751265
2005,47880601,26,28506191,19374404,23.006,13.521,1.25,39.2756901