Year,C.NAME,C.CODE,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.PRM.ENRR,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.SEC.ENRR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS
2005,Canada,CAN,,,,4.76588010787964,97.3645706176758,,,101.391189575195,,,,
2006,Canada,CAN,,,,,98.8806304931641,,,101.728248596191,,,,
2007,Canada,CAN,,,,4.7664098739624,98.9664764404297,,,101.90348815918,,,,
2008,Canada,CAN,,,,4.62612009048462,98.013313293457,,,102.344436645508,,,,
2009,Canada,CAN,,,,4.84057998657227,99.0087966918945,,,102.734443664551,,,,
2010,Canada,CAN,,,,5.356369972229,98.6416015625,,,102.398483276367,,,,
2011,Canada,CAN,,,,5.26205015182495,98.1893692016602,,,103.348960876465,,,,
2012,Canada,CAN,,,,,99.5182800292969,,,109.987487792969,91.93075,92.3454,,
2013,Canada,CAN,,,,,100.340713500977,,,109.485992431641,91.36203,91.55575,,
2014,Canada,CAN,,,,,101.536659240723,,,109.333099365234,90.68651,91.20447,,
2015,Canada,CAN,,,,,102.485076904297,,,110.35652923584,92.51468,92.31806,,
2016,Canada,CAN,,,,,101.023872375488,,,112.514282226563,99.69423,98.97111,,
2017,Canada,CAN,,,,,100.94367980957,,,113.76286315918,100,99.62981,,
2018,Canada,CAN,,,,,101.501091003418,,,114.123512268066,,,,
2019,Canada,CAN,,,,,100.989753723145,,,114.333267211914,,,,
2020,Canada,CAN,,,,,,,,,,,,
2005,China,CHN,,,,,,,,,,,,
2006,China,CHN,,,,,100.993278503418,,,71.3284530639648,,,91.8222732543945,91.6324234008789
2007,China,CHN,,,,,100.707046508789,,,76.7876586914063,,,93.6427536010742,93.3478927612305
2008,China,CHN,,,,,100.74243927002,,,81.7128372192383,,,99.7163467407227,99.2769393920898
2009,China,CHN,,,,,100.006103515625,,,85.4514083862305,,,98.8539276123047,98.2946319580078
2010,China,CHN,92.7112274169922,97.4794616699219,95.1244812011719,3.75464010238647,98.9642181396484,,,88.1734008789063,,,,
2011,China,CHN,,,,3.52196002006531,99.0470199584961,,,,,,,
2012,China,CHN,,,,4.07742977142334,99.7910995483398,,,,,,,
2013,China,CHN,,,,3.85250997543335,99.5645980834961,,,,,,,
2014,China,CHN,,,,3.72663998603821,95.7964324951172,,,,,,,
2015,China,CHN,,,,3.82487010955811,96.318603515625,,,,,,,
2016,China,CHN,,,,3.79362010955811,97.9619216918945,,,,,,,
2017,China,CHN,,,,3.66744995117188,99.4048080444336,,,,,,,
2018,China,CHN,95.1593322753906,98.4665374755859,96.8408889770508,3.54249000549316,100.222747802734,,,,,,,
2019,China,CHN,,,,,101.925720214844,,,,,,,
2020,China,CHN,,,,,103.173957824707,,,,,,,
2005,India,IND,,,,3.18875002861023,,,,53.9690589904785,,,,
2006,India,IND,50.8237609863281,75.1919021606445,62.7544708251953,3.14284992218018,,,,54.8829383850098,,,,
2007,India,IND,,,,,110.020118713379,90.92672,91.30154,57.2758712768555,,,,
2008,India,IND,,,,,110.697380065918,91.95885,89.90597,60.3564910888672,,,94.074592590332,94.7575836181641
2009,India,IND,,,,3.27824997901917,109.451072692871,92.31843,89.17164,59.6136512756348,,,94.6190185546875,95.7462921142578
2010,India,IND,,,,3.377690076828,109.101371765137,92.35823,89.70653,63.1161994934082,,,,
2011,India,IND,59.2773208618164,78.8772277832031,69.3025588989258,3.79618000984192,108.323356628418,92.04912,88.87882,66.2507019042969,,,92.0190505981445,92.7633590698242
2012,India,IND,,,,3.8675000667572,109.761299133301,92.43548,90.80182,69.0128326416016,,,,
2013,India,IND,,,,3.84467005729675,110.583312988281,93.02689,91.57047,68.7591171264648,62.40373,60.94448,93.426872253418,96.2008895874023
2014,India,IND,,,,,107.864410400391,,,74.1415328979492,,,95.0636901855469,97.5711212158203
2015,India,IND,,,,3.28572988510132,108.485229492188,,,73.8656311035156,,,95.2926712036133,97.7113189697266
2016,India,IND,,,,3.45097994804382,114.53832244873,,,75.091796875,,,94.1924896240234,96.2306976318359
2017,India,IND,,,,,112.957862854004,,,73.4768829345703,,,92.6502914428711,94.3737487792969
2018,India,IND,65.7908096313477,82.3667068481445,74.3729934692383,,,,,74.379508972168,,,,
2019,India,IND,,,,,96.8286819458008,,,73.79296875,,,90.2147674560547,91.661491394043
2020,India,IND,,,,,99.9004592895508,,,75.4811935424805,,,93.1959686279297,94.5591278076172
2005,Liberia,LBR,,,,,,,,,,,,
2006,Liberia,LBR,,,,,95.1388320922852,36.13472,36.03864,,,,72.2957077026367,66.6262588500977
2007,Liberia,LBR,27.0349102020264,60.7748107910156,42.9410781860352,,,,,,,,,
2008,Liberia,LBR,,,,1.70166003704071,95.8092422485352,42.36552,45.17725,,,,67.9871063232422,62.9172210693359
2009,Liberia,LBR,,,,,102.363586425781,,,,,,67.8507385253906,62.0882301330566
2010,Liberia,LBR,,,,,,,,,,,,
2011,Liberia,LBR,,,,,105.121139526367,,,46.3552589416504,,,72.5112228393555,66.8497772216797
2012,Liberia,LBR,,,,1.77711999416351,,,,,,,,
2013,Liberia,LBR,,,,1.73466002941132,,,,,,,,
2014,Liberia,LBR,,,,2.27909994125366,97.422492980957,37.33524,39.40625,38.57373046875,15.34193,18.54192,64.9160537719727,60.0097312927246
2015,Liberia,LBR,,,,2.1708300113678,95.3327102661133,,,37.9034996032715,14.61057,16.74498,,
2016,Liberia,LBR,,,,2.14812994003296,89.4702072143555,,,,,,,
2017,Liberia,LBR,34.0922584533691,62.6965599060059,48.3013610839844,2.76128005981445,85.1091918945313,44.40058,44.11589,,,,63.0615997314453,60.595401763916
2018,Liberia,LBR,,,,2.58412003517151,,,,,,,,
2019,Liberia,LBR,,,,2.27039003372192,,,,,,,,
2020,Liberia,LBR,,,,2.30928993225098,,,,,,,,
2005,Mexico,MEX,90.2104110717773,93.1904067993164,91.6302719116211,4.84568977355957,108.60083770752,,,82.3040771484375,67.17648,66.17629,99.6275405883789,100.573638916016
2006,Mexico,MEX,89.8345108032227,93.9011993408203,91.7345199584961,4.69992017745972,108.174766540527,,,84.0856018066406,68.68108,66.99611,100.1787109375,100.888198852539
2007,Mexico,MEX,91.3555526733398,94.4415130615234,92.7951736450195,4.69050979614258,108.799713134766,,,84.9070510864258,70.21508,67.66535,101.396469116211,101.960693359375
2008,Mexico,MEX,91.45361328125,94.5921630859375,92.9255981445313,4.82006978988647,109.424423217773,,,86.4275283813477,71.19059,68.04242,100.884307861328,101.29035949707
2009,Mexico,MEX,92.1162490844727,94.9165725708008,93.4418792724609,5.18794012069702,110.545280456543,,,85.9380111694336,71.4186,67.98211,99.7133178710938,99.8245162963867
2010,Mexico,MEX,91.8534164428711,94.3839416503906,93.0689392089844,5.15922021865845,110.633491516113,,,87.0699234008789,71.64942,68.55751,100.020286560059,100.239387512207
2011,Mexico,MEX,92.3382797241211,94.7827682495117,93.5199813842773,5.10564994812012,110.540756225586,,,88.1901779174805,72.06915,69.27626,100.155639648438,100.197532653809
2012,Mexico,MEX,93.1792373657227,95.3916320800781,94.228401184082,5.10309982299805,110.413452148438,,,90.6671981811523,72.97666,70.70398,105.429573059082,106.011009216309
2013,Mexico,MEX,92.903938293457,95.1121063232422,93.9628524780273,4.69605016708374,109.441482543945,,,93.3275527954102,76.69695,74.46837,108.938812255859,109.42504119873
2014,Mexico,MEX,93.5913391113281,95.6204681396484,94.5558776855469,5.25747013092041,108.005752563477,,,97.3433837890625,78.65028,76.69764,110.251930236816,110.508842468262
2015,Mexico,MEX,93.4854965209961,95.5493316650391,94.472282409668,5.22942018508911,106.606109619141,,,100.832740783691,81.00084,79.07405,104.805809020996,104.909820556641
2016,Mexico,MEX,93.9685211181641,95.8448181152344,94.859619140625,4.90681982040405,106.277732849121,,,102.40406036377,82.32134,80.15272,103.924026489258,103.969390869141
2017,Mexico,MEX,94.1657562255859,95.8723678588867,94.9727783203125,4.51821994781494,105.770011901855,,,104.385032653809,82.50117,79.84907,103.883277893066,104.097839355469
2018,Mexico,MEX,94.6080474853516,96.2329025268555,95.3799133300781,4.25442981719971,105.02806854248,,,105.103363037109,,,101.897537231445,102.255889892578
2019,Mexico,MEX,,,,,104.655822753906,,,104.647239685059,,,101.713859558105,102.465538024902
2020,Mexico,MEX,94.4951324462891,96.0587463378906,95.2478485107422,,,,,,,,,
2005,Mozambique,MOZ,,,,4.00578022003174,100.371620178223,71.27924,79.46531,13.4446897506714,6.19617,7.96448,49.5656089782715,41.8289184570313
2006,Mozambique,MOZ,,,,3.87146997451782,102.430732727051,75.39822,83.07627,15.7259302139282,8.01473,9.92302,48.7002983093262,41.263801574707
2007,Mozambique,MOZ,,,,,108.182220458984,80.40001,88.07823,18.4080696105957,9.48448,11.69815,52.4820899963379,45.4418983459473
2008,Mozambique,MOZ,,,,,112.051933288574,83.94941,91.26105,20.5702209472656,11.10996,13.34227,65.742057800293,58.1326293945313
2009,Mozambique,MOZ,36.452278137207,67.3546981811523,50.5838088989258,,111.904968261719,85.455,91.73927,23.2437705993652,13.5091,15.66697,61.6543006896973,55.2690582275391
2010,Mozambique,MOZ,,,,5.95292997360229,112.532577514648,86.69391,92.99847,25.2264099121094,14.97363,16.98501,64.4810562133789,58.9948501586914
2011,Mozambique,MOZ,,,,6.26040983200073,108.219741821289,84.73091,90.26196,25.9967308044434,16.36,17.78469,59.8793182373047,54.8782501220703
2012,Mozambique,MOZ,,,,5.67216014862061,106.901786804199,85.02275,90.46839,25.5067901611328,16.93053,17.9889,56.3985214233398,52.044059753418
2013,Mozambique,MOZ,,,,6.1153302192688,107.855392456055,86.15052,91.63922,34.0909004211426,19.352,20.45359,53.4348106384277,49.5456314086914
2014,Mozambique,MOZ,,,,6.87632989883423,107.598022460938,87.33514,92.49993,33.3790016174316,19.86617,20.58412,52.1871795654297,48.8089981079102
2015,Mozambique,MOZ,43.0624618530273,70.7583923339844,56.0390014648438,6.01082992553711,108.62914276123,88.76509,94.27246,33.5693893432617,19.3244,19.23149,52.1852989196777,48.9531784057617
2016,Mozambique,MOZ,,,,5.86503982543945,108.646560668945,88.72956,92.80647,,,,,
2017,Mozambique,MOZ,50.2951393127441,72.5994491577148,60.6554298400879,5.50555992126465,107.813247680664,88.22894,91.51815,35.4067192077637,,,50.2493896484375,47.1429100036621
2018,Mozambique,MOZ,,,,5.45218992233276,112.60498046875,92.4766,95.37994,,,,55.1837882995605,51.9876403808594
2019,Mozambique,MOZ,,,,6.22999000549316,116.381141662598,,,,,,58.1791191101074,54.7286911010742
2020,Mozambique,MOZ,,,,,118.419631958008,,,,,,61.3497886657715,58.1840209960938
2005,United States,USA,,,,,101.8740234375,95.41847,94.16765,95.0524826049805,90.70646,88.05048,,
2006,United States,USA,,,,,,,,,,,,
2007,United States,USA,,,,,,,,,,,,
2008,United States,USA,,,,,,,,,,,,
2009,United States,USA,,,,,,,,,,,,
2010,United States,USA,,,,,,93.51886,93.23588,,89.18024,87.62882,,
2011,United States,USA,,,,,,93.06796,91.84373,,90.47964,89.06161,,
2012,United States,USA,,,,,,92.63905,92.94052,,90.32571,88.32107,,
2013,United States,USA,,,,,99.455436706543,92.74006,92.87408,96.1864929199219,90.09343,88.8673,,
2014,United States,USA,,,,,99.6733779907227,93.57871,92.897,96.9245376586914,91.08553,88.70675,,
2015,United States,USA,,,,,100.299911499023,94.31605,93.49589,97.6525497436523,92.66306,89.93936,,
2016,United States,USA,,,,,101.362861633301,94.85693,95.28074,98.7699279785156,92.17723,92.18887,,
2017,United States,USA,,,,,101.821441650391,94.57828,94.6724,98.9523391723633,93.03496,91.88962,100.429466247559,98.8321990966797
2018,United States,USA,,,,,101.256561279297,,,99.2755813598633,,,104.510192871094,100.092697143555
2019,United States,USA,,,,,100.981300354004,,,100.063430786133,,,97.7526397705078,100.489051818848
2020,United States,USA,,,,,,,,,,,,
2005,Vietnam,VNM,,,,,97.7213516235352,,,,,,,93.7576904296875
2006,Vietnam,VNM,,,,,98.1253128051758,,,,,,,97.4443435668945
2007,Vietnam,VNM,,,,,99.7887420654297,,,,,,,
2008,Vietnam,VNM,,,,4.88674020767212,101.658752441406,,,,,,,
2009,Vietnam,VNM,91.3790893554688,95.7853317260742,93.5204467773438,4.81650018692017,102.321250915527,,,,,,,
2010,Vietnam,VNM,,,,5.13721990585327,105.709167480469,,,,,,,
2011,Vietnam,VNM,,,,4.81372022628784,107.193717956543,,,,,,,103.22785949707
2012,Vietnam,VNM,,,,5.53328990936279,107.754402160645,,,,,,,102.639686584473
2013,Vietnam,VNM,,,,5.65199995040894,108.41089630127,,,,,,99.6100692749023,100.016586303711
2014,Vietnam,VNM,,,,,110.329627990723,,,,,,104.737457275391,107.182876586914
2015,Vietnam,VNM,,,,4.46576023101807,109.886993408203,,,,,,104.804870605469,105.164459228516
2016,Vietnam,VNM,,,,4.34481000900269,111.204917907715,,,,,,105.112251281738,105.963989257813
2017,Vietnam,VNM,,,,4.08553981781006,109.150833129883,,,,,,,
2018,Vietnam,VNM,,,,4.16744995117188,110.59481048584,,,,,,108.637367248535,110.021209716797
2019,Vietnam,VNM,94.5656585693359,96.9906997680664,95.7538681030273,4.06197023391724,115.435173034668,,,,,,,
2020,Vietnam,VNM,,,,,117.157173156738,,,,,,,
2005,South Africa,ZAF,,,,5.06319999694824,105.948272705078,88.85118,88.44383,87.3967132568359,69.10643,63.2598,,
2006,South Africa,ZAF,,,,5.07256984710693,106.250091552734,,,90.6488265991211,,,,
2007,South Africa,ZAF,87.043098449707,90.7175903320313,88.7172470092773,4.97414016723633,108.024749755859,,,92.3353729248047,,,,
2008,South Africa,ZAF,,,,4.86600017547607,107.526397705078,,,90.8973999023438,,,,
2009,South Africa,ZAF,91.7681579589844,94.1214599609375,92.8948593139648,5.24869012832642,106.341697692871,,,92.5119018554688,,,,
2010,South Africa,ZAF,91.7139892578125,94.1438522338867,92.8773193359375,5.72173976898193,104.729377746582,,,93.7371978759766,,,,
2011,South Africa,ZAF,92.0478897094727,94.2450866699219,93.1021423339844,5.88102006912231,103.418388366699,,,96.1824569702148,,,,
2012,South Africa,ZAF,92.5862503051758,94.9637222290039,93.7294692993164,6.07742023468018,103.229202270508,,,98.8268585205078,,,,
2013,South Africa,ZAF,,,,5.86465978622437,102.670402526855,,,,,,,
2014,South Africa,ZAF,93.0730590820313,95.2868499755859,94.1399002075195,5.99946022033691,102.704963684082,,,107.804122924805,,,,
2015,South Africa,ZAF,93.4080276489258,95.3965301513672,94.367919921875,5.95619010925293,105.570388793945,,,109.444076538086,89.8737,91.20397,91.1008682250977,90.1104888916016
2016,South Africa,ZAF,,,,5.94285011291504,103.184959411621,,,107.176948547363,,,86.4542465209961,87.2553329467773
2017,South Africa,ZAF,86.4586334228516,87.6777496337891,87.0466690063477,6.11305999755859,100.864730834961,86.70383,87.31522,104.697982788086,78.52272,65.42324,,
2018,South Africa,ZAF,,,,6.15898990631104,98.5389022827148,,,100.511169433594,,,88.5940399169922,90.3444976806641
2019,South Africa,ZAF,94.5331726074219,95.5453720092773,95.0229721069336,6.50505018234253,98.3744735717773,,,102.556663513184,,,90.7839508056641,91.9994888305664
2020,South Africa,ZAF,,,,6.83613014221191,,,,,,,,
