Year,C.NAME,C.CODE,SH.H2O.BASW.UR.ZS,SH.H2O.BASW.RU.ZS,SH.STA.HYGN.ZS,SH.STA.BASS.ZS,SH.H2O.SMDW.UR.ZS,SH.STA.SMSS.ZS,SH.STA.ANVC.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SH.H2O.SMDW.ZS,HD.HCI.OVRL.FE,HD.HCI.OVRL.MA
2005,Canada,CAN,99.48998183,98.20544302,,99.80519484,,78.8857635,,7.01700019836426,6.46600008010864,6.76000022888184,98.24079534,,
2006,Canada,CAN,99.47343153,98.26651823,,99.75033789,,79.28068911,,6.52199983596802,6.09200000762939,6.32000017166138,98.29946776,,
2007,Canada,CAN,99.45688123,98.32759343,,99.69595411,,79.67517216,100,6.38399982452393,5.65299987792969,6.03999996185303,98.35997369,,
2008,Canada,CAN,99.44033093,98.38866864,,99.6414571,,80.06894984,,6.57200002670288,5.65199995040894,6.1399998664856,98.41990954,,
2009,Canada,CAN,99.42378064,98.44974385,,99.5868457,,80.46202275,,9.53299999237061,7.00500011444092,8.34000015258789,98.47926264,,
2010,Canada,CAN,99.40723034,98.51081905,,99.53213067,,80.85439848,,8.79399967193604,7.24300003051758,8.0600004196167,98.53806358,0.786082327365875,0.762514710426331
2011,Canada,CAN,99.39068004,98.57189426,,99.47721571,,81.24600912,,7.95900011062622,7.00899982452393,7.51000022888184,98.59599042,,
2012,Canada,CAN,99.37412975,98.63296946,,99.42171918,,81.636549,,7.71600008010864,6.81699991226196,7.28999996185303,98.65168006,,
2013,Canada,CAN,99.35757945,98.69404467,,99.36619078,,82.02636889,,7.49700021743774,6.59700012207031,7.07000017166138,98.70725106,,
2014,Canada,CAN,99.34102915,98.75511987,,99.31064352,,82.41547978,,7.37799978256226,6.38899993896484,6.90999984741211,98.76270793,,
2015,Canada,CAN,99.32447885,98.81619508,,99.25507123,,82.80387768,,7.46199989318848,6.29199981689453,6.90999984741211,98.81806216,,
2016,Canada,CAN,99.30792856,98.87727028,,99.19947682,,83.1915656,,7.68100023269653,6.24100017547607,7,98.87330686,,
2017,Canada,CAN,99.29137826,98.93834549,,99.14388406,,83.5785755,,6.7810001373291,5.85099983215332,6.34000015258789,98.92850562,0.808,0.79
2018,Canada,CAN,99.27482796,98.99942069,,99.08828896,,83.97367373,,6.13899993896484,5.48899984359741,5.82999992370605,98.98362633,0.810381829738617,0.790175378322601
2019,Canada,CAN,99.25827766,99.0604959,,99.03268117,,84.36813002,,6.03000020980835,5.25,5.65999984741211,99.03861451,,
2020,Canada,CAN,99.25827766,99.0604959,,99.03286158,,84.36839322,,9.52600002288818,9.38599967956543,9.46000003814697,99.03894727,0.81040757894516,0.785041689872742
2005,China,CHN,98.20965513,74.27908842,,66.05295978,89.65755289,21.15726769,89.8,5,3.92199993133545,4.51999998092651,,,
2006,China,CHN,98.14091735,75.30718421,,68.04807496,89.56814321,23.71607541,89.7,4.90000009536743,3.84299993515015,4.42999982833862,,,
2007,China,CHN,98.07212127,76.33348314,,70.00602318,89.47873353,26.41296376,90.9,4.80999994277954,3.77300000190735,4.34999990463257,,,
2008,China,CHN,98.0032669,77.35798522,,71.93309059,89.38932384,29.25110684,91,5.07399988174438,3.98000001907349,4.59000015258789,,,
2009,China,CHN,97.93435423,78.38069045,,73.82713823,89.29991416,32.22411192,92.2,5.21700000762939,4.09100008010864,4.71999979019165,,,
2010,China,CHN,97.86538326,79.40159883,,75.68896974,89.21050447,35.32940402,94.1,5.00500011444092,3.92600011825562,4.53000020980835,,,
2011,China,CHN,97.796354,80.42071035,,77.50550515,90.00160011,38.5387437,93.7,5.02799987792969,3.94400000572205,4.55000019073486,,,
2012,China,CHN,97.72726644,81.43802502,,79.28464962,90.79092904,41.85739972,95,5.05100011825562,3.96199989318848,4.57000017166138,,,
2013,China,CHN,97.65812058,82.45354284,,81.03184692,91.57849125,45.29026847,95.6,5.07399988174438,3.98000001907349,4.59000015258789,,,
2014,China,CHN,97.58891642,83.46726381,,82.74794313,92.36428675,48.83494578,96.2,5.09700012207031,3.99799990653992,4.6100001335144,,,
2015,China,CHN,97.51965397,84.47918792,,84.43258668,93.14831553,52.48634689,96.5,5.11999988555908,4.01599979400635,4.63000011444092,,,
2016,China,CHN,97.45033321,85.48931518,,86.08596623,93.93057761,56.24054077,96.6,5.01100015640259,3.9300000667572,4.53000020980835,,,
2017,China,CHN,97.38095417,86.49764558,,87.70748822,94.71107296,60.09072637,,4.91300010681152,3.8529999256134,4.44000005722046,,0.674,0.657
2018,China,CHN,97.31151682,87.50417914,,89.29564155,95.23318067,64.02449293,99.6,4.73699998855591,3.71499991416931,4.28000020980835,,0.65461403131485,0.640095114707947
2019,China,CHN,97.21319974,88.58270632,,90.85138344,95.1369634,68.03605785,,5.00400018692017,3.92400002479553,4.51999998092651,,,
2020,China,CHN,97.11488267,89.66123351,,92.37617808,95.04074614,69.65580705,,5.5310001373291,4.33799982070923,5,,0.659177899360657,0.646641552448273
2005,India,IND,92.85201703,79.11866408,,28.4835452,,15.3211176,,5.49399995803833,5.93900012969971,5.61299991607666,,,
2006,India,IND,92.90758804,79.76593755,,31.24230559,,17.27038835,74.2,5.49499988555908,5.90399980545044,5.60099983215332,,,
2007,India,IND,92.963011,80.41277995,,34.01546073,,19.28393109,,5.47700023651123,5.85200023651123,5.57200002670288,,,
2008,India,IND,93.01828589,81.05919126,,36.80268608,,21.30680318,,5.32600021362305,5.68100023269653,5.41400003433228,,,
2009,India,IND,93.07341273,81.7051715,,39.60301534,,23.3386407,,5.47100019454956,5.77199983596802,5.54400014877319,,,
2010,India,IND,93.12839152,82.35072067,66.89906807,42.41651879,,25.37938816,,5.48400020599365,5.74599981307983,5.5460000038147,,,
2011,India,IND,93.18322225,82.99583876,66.97611902,45.24319673,,27.42892062,,5.3730001449585,5.61100006103516,5.42600011825562,,,
2012,India,IND,93.23790492,83.64052577,67.05584145,48.08510146,,29.48719818,,5.37099981307983,5.57100009918213,5.41400003433228,,,
2013,India,IND,93.29243954,84.28478171,67.1380113,50.94117568,,31.55352208,,5.3899998664856,5.5479998588562,5.42399978637695,,,
2014,India,IND,93.3468261,84.92860657,67.22285792,53.81088813,,33.62723216,,5.41200017929077,5.52600002288818,5.43599987030029,,,
2015,India,IND,93.40106461,85.57200035,67.31037222,56.69339984,,35.70761814,,5.42000007629395,5.49100017547607,5.43499994277954,,,
2016,India,IND,93.45515505,86.21496306,67.40056273,59.58787271,,37.79397393,79.3,5.41699981689453,5.44700002670288,5.4229998588562,,,
2017,India,IND,93.50909745,86.85749469,67.49364379,62.49361923,,39.88551213,,5.35900020599365,5.35699987411499,5.35799980163574,,0.451,0.429
2018,India,IND,93.56289179,87.49959525,67.58940082,65.40956223,,41.89591302,,5.33799982070923,5.2979998588562,5.32999992370605,,0.491595357656479,0.478702425956726
2019,India,IND,93.61653807,88.14126473,67.68782584,68.33481002,,43.90429017,,5.36100006103516,4.93200016021729,5.26999998092651,,,
2020,India,IND,93.6700363,88.78250313,67.78892869,71.26847596,,45.90965899,,8.61900043487549,5.50699996948242,7.99700021743774,,0.500491142272949,0.48725688457489
2005,Liberia,LBR,80.44335982,54.31320769,,14.98613608,,,,2.12299990653992,2.25799989700317,2.18600010871887,,,
2006,Liberia,LBR,80.81129529,55.0570913,,15.21515877,,,,2.14299988746643,2.26200008392334,2.19899988174438,,,
2007,Liberia,LBR,81.17557275,55.79011132,,15.43948847,,,79.3,2.16499996185303,2.26799988746643,2.21300005912781,,,
2008,Liberia,LBR,81.5361922,56.51226773,,15.65875523,,,,2.19300007820129,2.27900004386902,2.23300004005432,,,
2009,Liberia,LBR,81.89315364,57.22356056,1.150671121,15.87533316,,,95.3,2.22099995613098,2.28900003433228,2.25300002098084,,,
2010,Liberia,LBR,82.24645706,57.92398978,1.154949693,16.08907782,,,,2.24600005149841,2.29699993133545,2.26999998092651,,,
2011,Liberia,LBR,82.59610247,58.61355541,1.159367709,16.30006099,,,95.4,2.26500010490417,2.16499996185303,2.21799993515015,,,
2012,Liberia,LBR,82.94208988,59.29225744,1.163902079,16.50766421,,,,2.28699994087219,2.03699994087219,2.17000007629395,,,
2013,Liberia,LBR,83.28441926,59.96009588,1.168575924,16.71216861,,,95.9,2.30699992179871,1.90699994564056,2.11899995803833,,,
2014,Liberia,LBR,83.62309064,60.61707072,1.173366035,16.9129365,,,,2.34100008010864,1.7849999666214,2.07999992370605,,,
2015,Liberia,LBR,83.95810401,61.26318196,1.178284036,17.11000494,,,,2.34100008010864,1.78600001335144,2.07999992370605,,,
2016,Liberia,LBR,84.28945936,61.89842961,1.183329933,17.30317359,,,97.9,3.74499988555908,2.33200001716614,3.07999992370605,,,
2017,Liberia,LBR,84.61715671,62.52281366,1.188480463,17.49178368,,,,3.68600010871887,2.33500003814697,3.04900002479553,,0.325,0.314
2018,Liberia,LBR,84.94119604,63.13633412,,17.6760717,,,,3.64199995994568,2.34500002861023,3.02999997138977,,0.322331607341766,0.312901794910431
2019,Liberia,LBR,85.52810963,64.10021689,,18.05615325,,,,3.60400009155273,2.35800004005432,3.01500010490417,,,
2020,Liberia,LBR,85.52810963,64.10021689,,18.16357204,,,97.8,4.65000009536743,3.21600008010864,3.98000001907349,,0.323783546686172,0.314354330301285
2005,Mexico,MEX,96.60292525,81.80368497,,81.27377788,,23.87717464,,3.36800003051758,3.90899991989136,3.55999994277954,40.35948897,,
2006,Mexico,MEX,96.89332254,83.2843433,,82.07830717,,25.87350566,97.7,3.38899993896484,3.89000010490417,3.5699999332428,40.5640574,,
2007,Mexico,MEX,97.18390312,84.77669523,,82.87293106,,27.90436423,,3.41899991035461,4,3.63000011444092,40.76641554,,
2008,Mexico,MEX,97.47192479,86.21616916,,83.65830449,,29.96951033,,3.77900004386902,4.02899980545044,3.86999988555908,40.96669575,,
2009,Mexico,MEX,97.72787166,87.22624414,,84.43419231,,32.0685671,95.8,5.36399984359741,5.35400009155273,5.3600001335144,41.16482643,,
2010,Mexico,MEX,97.98381853,88.23631912,,85.20102819,,34.20129298,,5.36999988555908,5.17999982833862,5.30000019073486,41.36089371,0.604089438915253,0.574441850185394
2011,Mexico,MEX,98.23976541,89.2463941,89.66001526,85.95971004,,36.3676703,,5.19199991226196,5.13199996948242,5.17000007629395,41.55507773,,
2012,Mexico,MEX,98.49571228,90.25646908,89.68317442,86.70980432,,38.56730401,97.6,4.89400005340576,4.88399982452393,4.8899998664856,41.74726437,,
2013,Mexico,MEX,98.75165915,91.26654406,89.70633655,87.45178303,,40.80011597,,4.88399982452393,4.9539999961853,4.90999984741211,41.93753836,,
2014,Mexico,MEX,99.00760603,92.27661905,89.72949429,88.18573213,,43.06591674,97.2,4.78800010681152,4.84800004959106,4.80999994277954,42.12589627,,
2015,Mexico,MEX,99.2635529,93.28669403,89.75249473,88.91148404,,45.36435171,98.5,4.22800016403198,4.44700002670288,4.30999994277954,42.31228861,,
2016,Mexico,MEX,99.51949977,94.29676901,89.77550185,89.62944687,,47.69541008,,3.82999992370605,3.91000008583069,3.85999989509583,42.49678317,,
2017,Mexico,MEX,99.77544665,95.30684399,89.79834169,90.33947554,,50.0587208,,3.31200003623962,3.60199999809265,3.42000007629395,42.67933349,0.62,0.595
2018,Mexico,MEX,100,96.31691897,89.82111114,91.04184497,,52.45421467,,3.18899989128113,3.42899990081787,3.27999997138977,42.84912192,0.627252817153931,0.596356928348541
2019,Mexico,MEX,100,97.32699395,89.84379235,91.73666093,,54.88172246,,3.45700001716614,3.51699995994568,3.48000001907349,42.93896105,,
2020,Mexico,MEX,100,98.33706893,,92.42406261,,57.34110284,,4.66699981689453,4.09700012207031,4.44999980926514,43.02628491,0.626666724681854,0.599544823169708
2005,Mozambique,MOZ,65.24127039,14.15725263,,15.14154304,,,,3.67799997329712,2.45900011062622,3.01500010490417,,,
2006,Mozambique,MOZ,66.69244381,16.10007588,,16.39316539,,,,3.6029999256134,2.56200003623962,3.03900003433228,,,
2007,Mozambique,MOZ,68.15291414,18.09591899,11.68288627,17.6603288,,,,3.55699992179871,2.68400001525879,3.08500003814697,,,
2008,Mozambique,MOZ,69.62268139,20.14478196,11.74597767,19.03875625,,,92.3,3.50799989700317,2.80399990081787,3.12899994850159,,,
2009,Mozambique,MOZ,71.10174556,22.24666479,11.81284357,20.44521807,,,,3.46199989318848,2.92799997329712,3.17499995231628,,,
2010,Mozambique,MOZ,72.59010665,24.40156747,11.88051898,21.8723446,,,,3.41000008583069,3.04800009727478,3.21700000762939,,,
2011,Mozambique,MOZ,74.08776465,26.60949001,11.94873345,23.31929245,,,90.6,3.35400009155273,3.16700005531311,3.25500011444092,,,
2012,Mozambique,MOZ,75.59471957,28.87043241,12.01748684,24.78588451,,,,3.3050000667572,3.29200005531311,3.29800009727478,,,
2013,Mozambique,MOZ,77.11097141,31.18439467,12.08678029,26.27194172,,,,3.25600004196167,3.42000007629395,3.34200000762939,,,
2014,Mozambique,MOZ,78.63652016,33.55137679,12.15661122,27.77727396,,,,3.2039999961853,3.54500007629395,3.38299989700317,,,
2015,Mozambique,MOZ,80.17136583,35.97137876,12.22698339,29.30170153,,,87.2,3.15700006484985,3.67899990081787,3.4300000667572,,,
2016,Mozambique,MOZ,81.71550841,38.44440059,,30.84502424,,,,3.17000007629395,3.70099997520447,3.44700002670288,,,
2017,Mozambique,MOZ,83.26894792,40.97044228,,32.40667838,,,,3.16899991035461,3.70900011062622,3.45099997520447,,,
2018,Mozambique,MOZ,84.83168434,43.54950383,,33.98682894,,,94,3.16899991035461,3.71799993515015,3.45600008964539,,,
2019,Mozambique,MOZ,86.40371767,46.18158524,,35.58641252,,,,3.17400002479553,3.73099994659424,3.46600008010864,,,
2020,Mozambique,MOZ,87.98504792,48.8666865,,37.20486798,,,,3.50399994850159,4.08900022506714,3.80999994277954,,,
2005,United States,USA,99.69304221,95.51131593,,99.8817868,96.41144911,97.8283804,,5.06599998474121,5.09600019454956,5.07999992370605,95.23581292,,
2006,United States,USA,99.69304221,95.51131593,,99.88154042,96.41144911,97.89264968,,4.61499977111816,4.625,4.61999988555908,95.24582727,,
2007,United States,USA,99.69304221,95.51131593,,99.88129549,96.41144911,97.95699817,,4.72499990463257,4.49599981307983,4.61999988555908,95.2557833,,
2008,United States,USA,99.69304221,95.51131593,,99.8810546,96.41144911,98.02142764,,6.09299993515015,5.41400003433228,5.78000020980835,95.2656829,,
2009,United States,USA,99.69304221,95.51131593,,99.88081511,96.41144911,98.08593485,,10.2760000228882,8.05900001525879,9.25,95.27552413,,
2010,United States,USA,99.71441514,95.88944969,,99.86076619,96.50727218,98.13517396,,10.5080003738403,8.60999965667725,9.63000011444092,95.46778236,0.704651892185211,0.678875505924225
2011,United States,USA,99.73578807,96.26758346,,99.84103269,96.60312747,98.18494766,,9.37100028991699,8.46100044250488,8.94999980926514,95.65914859,,
2012,United States,USA,99.75716101,96.64571722,,99.82162867,96.69901497,98.2352578,,8.22700023651123,7.88700008392334,8.06999969482422,95.84939996,,
2013,United States,USA,99.77853394,97.02385099,,99.80256859,96.79493469,98.28612717,,7.62799978256226,7.06899976730347,7.36999988555908,96.03857024,,
2014,United States,USA,99.79990687,97.40198475,,99.78386084,96.89088663,98.33755989,,6.26200008392334,6.06199979782104,6.17000007629395,96.22654489,,
2015,United States,USA,99.82127981,97.78011851,,99.7655241,96.98687079,98.32452877,,5.36700010299683,5.17799997329712,5.28000020980835,96.41326821,,
2016,United States,USA,99.84265274,98.15825228,,99.74755356,97.08288716,98.31176198,,4.93900012969971,4.78900003433228,4.86999988555908,96.59863984,,
2017,United States,USA,99.86402567,98.53638604,,99.72996764,97.17893575,98.29928582,,4.40199995040894,4.31199979782104,4.3600001335144,96.78265168,0.757,0.726
2018,United States,USA,99.8853986,98.91451981,,99.71277377,97.27501656,98.28709462,,3.95099997520447,3.84100008010864,3.90000009536743,96.96518791,0.730934500694275,0.697446584701538
2019,United States,USA,99.90677154,99.29265357,,99.69599445,97.37112958,98.27522266,,3.72099995613098,3.61100006103516,3.67000007629395,97.14624349,,
2020,United States,USA,99.92814447,99.67078734,,99.67961928,97.46727482,98.26364733,,7.7960000038147,8.34500026702881,8.05000019073486,97.32571774,0.720416069030762,0.684286594390869
2005,Vietnam,VNM,95.75177456,80.66850589,85.02691168,61.64097344,,,,1.93700003623962,2.26300001144409,2.09500002861023,,,
2006,Vietnam,VNM,95.91100173,81.63401849,85.08963415,63.60463279,,,90.8,2.05200004577637,2.12299990653992,2.08699989318848,,,
2007,Vietnam,VNM,96.0702209,82.60040439,85.15328881,65.5572956,,,,2.12199997901917,1.932000041008,2.02999997138977,,,
2008,Vietnam,VNM,96.22943209,83.5676636,85.21776649,67.49840034,,,,2.04999995231628,1.79499995708466,1.92700004577637,,,
2009,Vietnam,VNM,96.38863529,84.5357961,85.28327907,69.42821322,,,,1.88900005817413,1.5789999961853,1.74000000953674,,,
2010,Vietnam,VNM,96.5478305,85.50480191,85.3509602,71.34909419,,,,1.14300000667572,1.07400000095367,1.11000001430511,,0.680296421051025,0.634341835975647
2011,Vietnam,VNM,96.70701772,86.47468102,85.41947295,73.25730636,,,93.7,1.09099996089935,0.901000022888184,1,,,
2012,Vietnam,VNM,96.86619695,87.44543343,85.48891239,75.15281942,,,,1.12100005149841,0.930999994277954,1.02999997138977,,,
2013,Vietnam,VNM,97.0253682,88.41705915,85.55886687,77.03452679,,,,1.48399996757507,1.14300000667572,1.32000005245209,,,
2014,Vietnam,VNM,97.52238755,89.8967739,85.62975087,78.90307591,,,95.8,1.39900004863739,1.10899996757507,1.25999999046326,,,
2015,Vietnam,VNM,98.21274352,90.83306799,85.70146368,80.75801041,,,,1.97899997234344,1.70899999141693,1.85000002384186,,,
2016,Vietnam,VNM,98.53001697,91.76936208,85.77390308,82.59892171,,,,1.9889999628067,1.69900000095367,1.85000002384186,,,
2017,Vietnam,VNM,98.69327273,92.70565617,85.846544,84.32223318,,,,2.02699995040894,1.69799995422363,1.87000000476837,,,
2018,Vietnam,VNM,98.85652849,93.64195026,85.91949663,86.02534939,,,,1.27799999713898,1.02900004386902,1.1599999666214,,0.725250840187073,0.652676463127136
2019,Vietnam,VNM,99.01978425,94.57824435,85.99275936,87.70813691,,,,2.06800007820129,2.00799989700317,2.03999996185303,,,
2020,Vietnam,VNM,99.18304001,95.51453844,86.06633197,89.24647713,,,,2.00200009346008,2.81900000572205,2.39000010490417,,0.727666437625885,0.654776275157928
2005,South Africa,ZAF,98.52951068,70.44225323,,64.01580626,90.38941995,,,23.5209999084473,36.4389991760254,29.1200008392334,,,
2006,South Africa,ZAF,98.56096095,71.30140176,,65.04813012,89.98318381,,,22.5510005950928,35.8440017700195,28.3400001525879,,,
2007,South Africa,ZAF,98.59241123,72.16055029,,66.07165911,89.34832615,,,21.4570007324219,33.0880012512207,26.5400009155273,,,
2008,South Africa,ZAF,98.62386151,73.01969882,,67.08632138,88.71304514,,97.1,19.7509994506836,25.8190002441406,22.4099998474121,,,
2009,South Africa,ZAF,98.65531179,73.87884735,,68.0912245,88.07734078,,,21.9220008850098,25.5769996643066,23.5200004577637,,,
2010,South Africa,ZAF,98.68676207,74.73799588,,69.08668367,87.44121307,,,22.8740005493164,27.0200004577637,24.6800003051758,,0.4383764564991,0.417664229869842
2011,South Africa,ZAF,98.71821234,75.59714441,,70.07234949,86.80466201,,,22.5979995727539,27.2360000610352,24.6399993896484,,,
2012,South Africa,ZAF,98.74966262,76.45629294,43.34615471,71.04814234,86.1676876,,,22.8780002593994,27.0939998626709,24.7299995422363,,,
2013,South Africa,ZAF,98.7811129,77.31544147,43.47679019,72.01358167,85.53028985,,,22.9740009307861,26.5480003356934,24.5599994659424,,,
2014,South Africa,ZAF,98.81256318,78.17459,43.60692689,72.96880358,84.89246874,,,23.1700000762939,27.0429992675781,24.8899993896484,,,
2015,South Africa,ZAF,98.84401345,79.03373853,43.73631354,73.9135389,84.25422429,,,23.2240009307861,27.5480003356934,25.1499996185303,,,
2016,South Africa,ZAF,98.87546373,79.89288706,43.86494561,74.84761764,83.61555649,,93.7,24.5580005645752,29.0130004882813,26.5400009155273,,,
2017,South Africa,ZAF,98.90691401,80.75203559,43.99257483,75.77086841,82.97646534,,,25.2199993133545,29.2830009460449,27.0400009155273,,0.408,0.362
2018,South Africa,ZAF,98.93836429,81.61118412,44.11920031,76.68318836,82.33695084,,,25.1480007171631,29.0709991455078,26.9099998474121,,0.443053871393204,0.402945220470429
2019,South Africa,ZAF,98.96981456,82.47033265,44.24482361,77.58447964,81.69701299,,,26.80299949646,30.5139999389648,28.4699993133545,,,
2020,South Africa,ZAF,99.00126484,83.32948118,44.36969558,78.47461071,81.0566518,,,27.753999710083,31.0359992980957,29.2199993133545,,0.445561945438385,0.406087726354599
