Event,Country Name,Start Date,End Date,Start Month,End Month,Start Year,End Year,Description,Outcome
Communist Party of China general secretary Xi Jinping visits Wuhan,China,10th,10th,March,March,2020,2020,To understand the situation and comfort anxious peoples,Patients were well organized with minimum panics
Electronic Waste Report,China,1st,31st,January,December,2011,2011,Produced 2.3 million tons of electronic waste,Degraded living condition
Air Pollution Report,China,1st,31st,January,December,2016,2016,84 out of 338 prefecture-level. ranking below a province and above a county or higher cities attained the national standard for air quality,Damaged citizen's health condition
PM2.5 Concentrations Report,China,1st,31st,January,December,2013,2017,The average PM2.5 concentrations fell by 33% in 74 cities,Improved serious air pollution
 Anti-Japanese demonstrations in China,China,11th,11th,April,April,2005,2005,"20,000 protesters marching in two cities in southern Guangdong province objecting to a recently amended Japanese schoolbook which allegedly glosses over Japan's imperialist past",Enhanced strength national spririt
The construction of the Three Gorges Dam wall,China,20th,20th,May,May,2006,2006,"The largest dam in the world, is completed in the People's Republic of China",Improved transportation conviniency
2008 Summer Olympics,China,8th,24th,August,August,2008,2008,An international multisport event ,Developed positive persecptives from other countries
The Qingzang railway launches a trial operation,China,1st,1st,July,July,2006,2006,Making Tibet the last province-level entity of China to have a conventional railway,Enhanced economic connections
Typhoon Kaemi,China,27th,27th,July,July,2006,2006,A rare nature disaster in 2006,Led fast economic grouth
A flood in a coal mine in Fushun,China,10th,10th,March,March,2007,2007,"A flood in a coal mine in Fushun, a city near Shenyang in the province of Liaoning in China",More than 80 people dead and missing
Emitter of Carbon Dioxide Report,India,1st,31st,January,December,2009,2009,India contributed some 5 percent of human-sourced carbon dioxide emission,Twenty people die and 9 are missing
ICoAT 2020 : 1st International conference on Applied Science & Technology,India,21st,22nd,March,March,2020,2020,To present the research from different areas of science and technology,Exchanged innovative ideas
Indian farmers' protest,India,9th,11th,August,December,2020,2020,Protest against three farm acts that were passed by the Parliament of India,Gained supports on farmer's right
Nandigram violence,India,1st,31st,January,November,2007,2007,"Clashes between opposition parties, the governing Communist Party of India (Marxist) and police in Nandigram, West Bengal","On 14 March, 14 villagers were killed in police firing"
Muzaffarnagar riots,India,27th,17th,August,September,2013,2013,The clashes between the Hindu and Muslim communities,Tons of innocent people died
Fifth-generation stealth fighter jets,India,24th,24th,January,January,2007,2007,India and Russia agree to jointly develop fifth-generation stealth fighter jets.,Developed stronger military strength
First nuclear submarine,India,26th,26th,July,July,2009,2009,"India launches its first nuclear submarine, the INS Arihant",Developed stronger military strength
Samjhauta Express bombings,India,18th,18th,February,February,2007,2007,A terrorist attack,Passegners were killed or injured
Gas leak,India,7th,7th,May,May,2020,2020,"A gas leak at a chemical plant in Visakhapatnam, Andhra Pradesh",13 people were killed
"Of the 30 most polluted cities in the world, 21 were in India",India,1st,31st,January,December,2016,2016,At least 140 million people in India breathe air that is 10 times or more over the WHO safe limit,Serious Air Pollution
Anti-China protest in Hanoi,Vietnam,8th,8th,February,February,2014,2014,"Ballroom dancers and aerobics classes have popped up in the midst of an anti-China protest in Hanoi, in an apparent ploy by the government to break up the event.",Caused tensions between people of two countires
Joining the CPTPP,Vietnam,8th,8th,March,March,2018,2018,Creating convenient conditions for Vietnamese products to enter the markets of trading partners,Massive economical grouth
Bridge collapsions,Vietnam,24th,24th,February,February,2014,2014,A bridge collapses as they are transporting a coffin in Lai Châu Province,Tons of innocent people died
New marriage law goes into effect,Vietnam,1st,1st,January,January,2015,2015,Vietnam’s new marriage law goes into effect. Same-sex marriages are no longer prohibited,Not recognized as being legally valid
Joining the World Trade Organization ,Vietnam,7th,7th,November,November,2006,2006,the General Council at the World Trade Organization (WTO) approved Vietnam's accession package,Massive economical grouth
Establish of Vietnamese Environment Administration ,Vietnam,30th,30th,September,September,2008,2008,The management of environmental issues in Vietnam,Reduced environmental issues
Vietnam marine environment disaster,Vietnam,6th,18th,April,April,2016,2016,A large number of dead fish were found on the coast of Hà Tĩnh and three other provinces,Serious nature disaster
Vietnam's Economy 2019,Vietnam,1st,19th,January,December,2019,2019,Expanding by an estimated 6.8 percent,Massive economical grouth
2016 Summer Olympics,Vietnam,5th,21sr,August,August,2016,2016,"7 athletes from Vietnam competed in the 2016 Summer Olympics in Rio de Janeiro, Brazil",Great achievement in international sport events
APEC Vietnam 2017,Vietnam,6th,11th,November,November,2017,2017,A year-long hosting of Asia-Pacific Economic Cooperation (APEC) meetings in Vietnam,Opened more economical oppotunity
Province wide strike,Canada,21st,21st,February,February,2020,2020,Ontario teachers held a one-day province wide strike,Promoted human rights 
A series of shootings and arson attacks,Canada,18th,19th,April,April,2020,2020,A series of shootings and arson attacks takes place in various Nova Scotia locations,23 people were killed
Indigenous people's status,Canada,11th,11th,May,May,2018,2018,United Nations announces it is concerned Canada is not doing enough for Indigenous people's status,Concerned on human right issue
British Columbia pipeline bombings,Canada,1st,31st,October,July,2018,2019,bombed after letters were sent to a local newspaper opposing the gas industry,People injured
Montreal shooting,Canada,4th,4th,September,September,2012,2012,"Richard Bain, an anglophone Quebecer, attempted to assassinate Parti Québécois leader and Premier elect Pauline Marois at a victory gathering in Montreal",Was sentenced to life imprisonment with the possibility of parole after 20 years
Shootings at Parliament Hill,Canada,22nd,22nd,October,October,2014,2014,"Michael Zehaf-Bibeau, a convert to Islam, fatally shoots Corporal Nathan Cirillo, a Canadian soldier on ceremonial sentry duty at the National War Memorial",Shot 31 times and dies at the scene
Immigrants in 2019,Canada,1st,31st,January,December,2019,2019,"Canada admitted 341,180 permanent residents",More diversed 
2018 Memorial Cup,Canada,18th,27th,May,May,2018,2018,"2018 Memorial Cup, was held at the Brandt Centre in Regina, Saskatchewan",Maintained positive sport culture
Canada-China Free Trade Agreements,Canada,2nd,2nd,June,June,2017,2017,Trading with China,More trading benefits
4th gold in the 2010 Winter Olympics,Canada,28th,28th,February,February,2010,2010,Canada wins its 14th gold in the 2010 Winter Olympics making it the most gold ever won by one country,Showed ability of participating big events
United States-Mexico-Canada Agreement,Mexico,1st,1st,July,July,2020,2020,Free Trade Agreement,Helped economic grouth
First Presidential debate,Mexico,22nd,22nd,April,April,2018,2018,"First Presidential debate, in Mexico City",Watched by 11.4 million peoples
Serious Floods,Mexico,1st,31st,June,June,2018,2018,Floods cause multiple problems throughout the country,Massive economical loss
Mexico City Pollution,Mexico,19th,19th,October,October,2019,2019,Residents urged stay indoors,Impacted citizen's health condition
Puebla earthquake,Mexico,19th,19th,September,September,2017,2017,Massive Earthquake,Impacted economics
43 killed in major offensive against drug cartel,Mexico,22nd,22nd,May,May,2015,2015,Biggest official death toll,Caused serious social problem
5.6 magnitude earthquake,Mexico,20th,20th,February,February,2013,2013,A strong earthquake of all year,No economical lose
Prime interest rates cut,Mexico,8th,8th,March,March,2013,2013,Bank of Mexico (Banixco) cuts prime interest rates to 4.50%,Economical improvement
First same-sex marriage ,Mexico,28th,28th,March,March,2013,2013,First same-sex marriage performed in Oaxaca[,Victory of history in Mexico
A mass grave found,Mexico,31st,31st,May,May,2010,2010,"A mass grave containing between 20 and 25 bodies is found in an abandoned mine near Taxco, Guerrero, in Mexico",Pointed out social security concerns
An explosion in Little Tokyo,USA,16th,16th,May,May,2020,2020,"An explosion in Little Tokyo, Los Angeles sets multiple buildings on fire",Left 11 firefighters injured
George Floyd protests,USA,28th,29th,May,May,2020,2020,"George Floyd protests: A state of emergency is declared in the Twin Cities, with hundreds of National Guard soldiers deployed on the streets as protests spread nationwide",Gained supports for racial injustice
COVID-19 pandemic,USA,10th,10th,June,June,2020,2020,Nationwide confirmed COVID-19 cases surpass 2 million,Tons of people died of Covid
"312,000 jobs newly created",USA,4th,4th,January,January,2019,2019,Manufacturing ended 2018 with the most jobs added in one year since 1997,"Far ahead of predictions of 177,000"
Students stage a walkout and rally at the Capitol building,USA,15th,15th,March,March,2019,2019,Demanding legal action on climate change,Gained supports for against climate change
Indigenous Peoples' Day,USA,15th,15h,March,March,2019,2019,The New Mexico legislature votes to replace Columbus Day with Indigenous Peoples' Day,Gained respect and provided rights to indiginious
"Two-day shooting spree in Potomac, Maryland",USA,5th,6th,May,May,2016,2016,The suspect is believed to be a former police officer,3 people were killed or injured
A charter bus rolls over,USA,14th,14th,May,May,2016,2016,"A charter bus rolls over on Route 83 north of Laredo, Texas",Eight people are killed and 44 others injured
A mass shooting ,USA,2nd,2nd,April,April,2012,2012,A former student at the school,43 students were killed
White Supremacist Wade Michael Page,USA,5th,5th,August,August,2012,2012,"Opens fire at a Sikh temple in Oak Creek, Wisconsin",Killing six and wounding four before committing suicide after police arrived
Liberian Refugee Immigration Fairness program (LRIF),Liberia,28th,28th,December,December,2020,2020,"The United States extends the Liberian Refugee Immigration Fairness program (LRIF) until December 20, 2021",Exposed the underdevelopment of the country
"Liberian general election, 2017",Liberia,10th,10th,October,October,2017,2017,"scheduled date for the Liberian general election, 2017",Representation of democracy in the country
A second rebel group,Liberia,1st,31st,March,March,2003,2003,launching attacks against Taylor from the southeast,Peace talks between the factions
National Independence Day,Liberia,26th,26th,July,July,2011,2011,Proclaimed by President Ellen Johnson Sirleaf,Gained confident for the whole nation
Prohibit and criminalize same-sex marriages,Liberia,12th,12th,July,July,2012,2012,Enact legislation to prohibit and criminalize same-sex marriages,Both male and female homosexuality are illegal in Liberia
Education 2011,Liberia,1st,31st,January,December,2010,2010,The literacy rate of Liberia was estimated at 60.8%,Education for gender is inbalanced
Life expectancy 2012,Liberia,1st,31st,January,December,2012,2012,Estimated to be 57.4 years,Conclued low level economic development
The results of the 2020 Liberian constitutional referendum,Liberia,1st,1st,April,April,2020,2020,Voters reject efforts to shorten the president′s term and to allow dual citizenship,Victory of democracy
Liberia's last known ebola patient ,Liberia,5th,5th,March,March,2015,2015,Liberia's last known ebola patient is discharged from a treatment center in Monrovia,"Proofed ability of medical, environmental improvement"
GDP Grouth in 2020,Liberia,1st,31st,January,December,2020,2020,Real GDP was estimated to contract by 3.1% in 2020,Economical improvement
 A mass poisoning at a funeral ,Mozambique,10th,10th,January,January,2015,2015,A mass poisoning at a funeral in Mozambique involves beer that was deliberately contaminated with crocodile bile,The government tightens health restrictions as new cases rise to 422 per day
Illegal fishing Report,Mozambique,1st,31st,January,December,2020,2020,The Bazaruto Archipelago National Park (PNAB) reports,At least 56 dead and 146 hospitalized
Mozambican flood,Mozambique,22nd,2nd,February,February,2007,2007,The 2007 Mozambican flood began in late December 2006 when the Cahora Bassa Dam overflowed from heavy rains on Southern Africa,There were 29 confirmed casualties and a further 10 unconfirmed deaths
United Nations High Commissioner for Refugees (UNHCR) reports ,Mozambique,18th,18th,December,December,2020,2020,The United Nations High Commissioner for Refugees (UNHCR) reports that attacks from armed groups,"Displaced more than 530,000 people"
2008 Summer Olympics,Mozambique,5th,21st,August,August,2008,2008,"Mozambique competed in the 2008 Summer Olympics held in Beijing, People's Republic of China",Improved exposure in international sport events
2018 FIBA Under-18 Women's African Championship,Mozambique,29th,5th,July,August,2018,2018,Mozambique hosted the 2018 FIBA Under-18 Women's African Championship,Showed ability of holding sport events
The tropical cyclone Dineo,Mozambique,15h,15th,February,February,2017,2017,The tropical cyclone Dineo struck the coast of Mozambique,"At least seven people were killed across the country, and an estimated 20,000 homes were destroyed and approximately 130,000 people were directly affected"
Poisoned beer death,Mozambique,12th,12th,January,January,2015,2015,The competing theory is that the actual poison may have been cardiac glycosides found in local plants,"The death toll from the poisoned beer rises to at least 69, with 169 in hospital"
2011 All-Africa Games,Mozambique,3rd,18th,September,September,2011,2011,Mozambique hosted the 2011 All-Africa Games from September 3 to September 18,Proofed decent economical grouth
Mozambican protests,Mozambique,1st,7th,September,September,2010,2010,A series of food riots and deadly mass demonstrations sparked by spiralling food inflation and unemployment,The wave of unprecedented violence was the biggest since the end of the Mozambican Civil War
2019 African Netball Championships,South Africa,18th,23rd,October,October,2019,2019,2019 African Netball Championships was held in South Africa and hosts South Africa were adjudged the winners of the tournament,Proofed ability of holding international game
State of the Nation (SONA2017),South Africa,9th,9th,February,February,2017,2017,President Jacob Zuma presented the State of the Nation (SONA2017) to a joint sitting of the two Houses of Parliament,Improved political justice
Leaked documents ,South Africa,23rd,2rd,February,February,2015,2015,Leaked documents derived from communications between South Africa's State Security Agency and various agencies are published by Al Jazeera and The Guardian,Exposed corruption of government administration
Human Rights Day,South Africa,21st,21st,March,March,2020,2020,Human Rights Day in South Africa,Demonstrated development of human rights
Fraud trial,South Africa,15th,15th,November,November,2020,2020,Preacher Shepherd Bushiri and his wife flee to Malawi to avoid a fraud trial,Released corrupt governent issues
COVID-19 pandemic,South Africa,18th,18th,December,December,2020,2020,"Minister of Health Zweli Mkhize said scientists had discovered a new variant of virus, called 501.V2 Variant",More and more innocent people died
The first One-Day International (ODI),South Africa,3rd,3rd,March,March,2019,2019,The first One-Day International (ODI) match in the series between South Africa and Sri Lanka,Proofed ability of holding international game
Calls for bringing back the death penalty,South Africa,8th,8th,August,August,2018,2018,The National Freedom Party calls for bringing back the death penalty in South Africa after the death of Khensani Maseko,Improvement of law justice
2016 Summer Olympics,South Africa,5th,21st,August,August,2016,2016,"68 athletes from South Africa completed at the 2016 Summer Olympics in Rio de Janeiro, Brazil",Exposed in more international events
The murder of Mozambican immigrant and taxi driver,South Africa,25th,25th,August,August,2015,2015,"Eight former police officers are convicted for the murder of Mozambican immigrant and taxi driver, Mido Macia, in the North Gauteng High Court",Presented insecured and unwelvomed society